"state","agency","agency_short","fiscal_year","fy_start","fy_end","identified","removed","attests_active","source_footnote","latitude","longitude","address","agency_raw","source"
"ARIZONA","Florence Police Department","Florence Police Dept.",2008,2007-10-01,2008-09-30,,,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2009,2008-10-01,2009-09-30,,,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2010,2009-10-01,2010-09-30,,,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2011,2010-10-01,2011-09-30,0,0,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2012,2011-10-01,2012-09-30,,,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2013,2012-10-01,2013-09-30,0,0,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2006,2005-10-01,2006-09-30,,,FALSE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2007,2006-10-01,2007-09-30,3056,2852,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2008,2007-10-01,2008-09-30,13522,11841,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2009,2008-10-01,2009-09-30,11810,8222,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Maricopa County Sheriff Office","Maricopa County Sheriff",2010,2009-10-01,2010-09-30,7700,4509,TRUE,FALSE,33.445386,-112.080778,"550 West Jackson, Phoenix Arizona 85003","Maricopa County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
