state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Mississippi,Hinds County,Mississippi Department of Corrections,SIMPSON COUNTY ADULT DETENTION CENTER,hifld_prisons,COUNTY,NA,28,28127,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,120 CEMETERY ST,MENDENHALL,Simpson,31.960053472582757,-89.86051490426709
Mississippi,Hinds County,Mississippi Department of Corrections,SIMPSON COUNTY SHERIFFS DEPARTMENT / SIMPSON COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28127,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,111 WEST PINE AVENUE,MENDENHALL,Simpson,31.9635334,-89.8702267
Mississippi,Hinds County,Mississippi Department of Corrections,SMITH COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28129,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,150 COURT HOUSE SQUARE,RALEIGH,Smith,32.034002874094504,-89.52464843041658
Mississippi,Hinds County,Mississippi Department of Corrections,SMITH COUNTY SHERIFFS DEPARTMENT / SMITH COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28129,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,150 COURT HOUSE SQUARE,RALEIGH,Smith,32.0340629,-89.5233782
Mississippi,Hinds County,Mississippi Department of Corrections,STONE COUNTY REGIONAL CORRECTIONAL FACILITY,hifld_prisons,COUNTY,NA,28,28131,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1420 INDUSTRIAL PARK RD,WIGGINS,Stone,30.8361928175725,-89.13456299053666
Mississippi,Hinds County,Mississippi Department of Corrections,SUNFLOWER COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28133,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1300 ALLEN ROAD,INDIANOLA,Sunflower,33.448340775619236,-90.62988073941372
Mississippi,Hinds County,Mississippi Department of Corrections,SUNFLOWER COUNTY SHERIFFS DEPARTMENT / SUNFLOWER COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28133,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1300 ALLEN ROAD,INDIANOLA,Sunflower,33.4482415,-90.6298755
Mississippi,Hinds County,Mississippi Department of Corrections,Tallahatchie County Correctional Facility,facilities,NA,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,19351 Us 49,Tutwiler,Tallahatchie,34.02701222,-90.44625155
Mississippi,Hinds County,Mississippi Department of Corrections,Tallahatchie County Correctional Facility - CCA,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,415 US Highway 49 South,Tutwiler,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,TALLAHATCHIE COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28135,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,206 JAILHOUSE STREET,SUMNER,Tallahatchie,33.97017103776432,-90.37116509330603
