status,layer,state,county,agency,match_value,suggested_name,suggested_geoid,boundary_src,match_dist,n_within_threshold,unique_best,manual_match_layer,manual_match_name,manual_reason,manual_note
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 2,Liberty County Constable Precinct 2,Liberty,4842568,place,0.15000000000000002,8,FALSE,municipal,Liberty,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 2,Liberty County Constable Precinct 2,Liberty City,4842616,place,0.15000000000000002,8,FALSE,municipal,Liberty City,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 2,Liberty County Constable Precinct 2,Liberty City,4818392193,cousub,0.15000000000000002,8,FALSE,municipal,Liberty City,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 4,Liberty County Constable Precinct 4,Liberty,4842568,place,0.15000000000000002,8,FALSE,municipal,Liberty,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 4,Liberty County Constable Precinct 4,Liberty City,4842616,place,0.15000000000000002,8,FALSE,municipal,Liberty City,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 4,Liberty County Constable Precinct 4,Liberty City,4818392193,cousub,0.15000000000000002,8,FALSE,municipal,Liberty City,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 6,Liberty County Constable Precinct 6,Liberty,4842568,place,0.15000000000000002,8,FALSE,municipal,Liberty,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 6,Liberty County Constable Precinct 6,Liberty City,4842616,place,0.15000000000000002,8,FALSE,municipal,Liberty City,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Liberty County,Liberty County Constable Precinct 6,Liberty County Constable Precinct 6,Liberty City,4818392193,cousub,0.15000000000000002,8,FALSE,municipal,Liberty City,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Parker County,Parker County Constable Precinct 4,Parker County Constable Precinct 4,Parker,4855152,place,0.15555555555555553,4,TRUE,municipal,Parker,fuzzy_promoted,jw=0.156
suggestion,municipal,Texas,Parker County,Parker County Constable Precinct 4,Parker County Constable Precinct 4,Pecos,4838992990,cousub,0.2444444444444445,4,TRUE,municipal,Pecos,fuzzy_promoted,jw=0.244
suggestion,municipal,Texas,Parker County,Parker County Constable Precinct 4,Parker County Constable Precinct 4,Paris,4855080,place,0.2454320987654321,4,TRUE,municipal,Paris,fuzzy_promoted,jw=0.245
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 1,Trinity County Constable Precinct 1,Trinity,4873664,place,0.15000000000000002,4,FALSE,municipal,Trinity,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 1,Trinity County Constable Precinct 1,Trinity,4845593945,cousub,0.15000000000000002,4,FALSE,municipal,Trinity,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 1,Trinity County Constable Precinct 1,Trinidad,4873652,place,0.20714285714285713,4,FALSE,municipal,Trinidad,fuzzy_promoted,jw=0.207
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 2,Trinity County Constable Precinct 2,Trinity,4873664,place,0.15000000000000002,4,FALSE,municipal,Trinity,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 2,Trinity County Constable Precinct 2,Trinity,4845593945,cousub,0.15000000000000002,4,FALSE,municipal,Trinity,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 2,Trinity County Constable Precinct 2,Trinidad,4873652,place,0.20714285714285713,4,FALSE,municipal,Trinidad,fuzzy_promoted,jw=0.207
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 4,Trinity County Constable Precinct 4,Trinity,4873664,place,0.15000000000000002,4,FALSE,municipal,Trinity,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 4,Trinity County Constable Precinct 4,Trinity,4845593945,cousub,0.15000000000000002,4,FALSE,municipal,Trinity,fuzzy_promoted,jw=0.150
suggestion,municipal,Texas,Trinity County,Trinity County Constable Precinct 4,Trinity County Constable Precinct 4,Trinidad,4873652,place,0.20714285714285713,4,FALSE,municipal,Trinidad,fuzzy_promoted,jw=0.207
suggestion,municipal,Texas,Walker County,Walker County Constable Pct 3,Walker County Constable Pct 3,Waco,4876000,place,0.21818181818181825,7,FALSE,municipal,Waco,fuzzy_promoted,jw=0.218
suggestion,municipal,Texas,Walker County,Walker County Constable Pct 3,Walker County Constable Pct 3,Waka,4876048,place,0.21818181818181825,7,FALSE,municipal,Waka,fuzzy_promoted,jw=0.218
suggestion,municipal,Texas,Walker County,Walker County Constable Pct 3,Walker County Constable Pct 3,Wake Village,4876096,place,0.21818181818181825,7,FALSE,municipal,Wake Village,fuzzy_promoted,jw=0.218
suggestion,municipal,Texas,Wilson County,Stockdale Marshal's Office,Stockdale Marshal's,Stockdale,4870376,place,0.10000000000000002,10,FALSE,municipal,Stockdale,fuzzy_promoted,jw=0.100
suggestion,municipal,Texas,Wilson County,Stockdale Marshal's Office,Stockdale Marshal's,Stockdale,4849393755,cousub,0.10000000000000002,10,FALSE,municipal,Stockdale,fuzzy_promoted,jw=0.100
suggestion,municipal,Texas,Wilson County,Stockdale Marshal's Office,Stockdale Marshal's,Stockton Bend,4870406,place,0.21303418803418805,10,FALSE,municipal,Stockton Bend,fuzzy_promoted,jw=0.213
suggestion,municipal,West Virginia,Ohio County,Village of Clearview Police Department,Village Of Clearview,Clearview,5415916,place,0.08333333333333338,1,TRUE,municipal,Clearview,fuzzy_promoted,jw=0.083
