staged_file,source_file,agreement_url,url_stem,sha256,fetch_url,final_url,source_column,source_snapshot_ts
merge_ready/agreements/287gWSO_HendryCoFl2019_10_15_20210116_e10efff0956f.pdf,pdfs/287gWSO_HendryCoFl2019_10_15_20210116_e10efff0956f.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_HendryCoFl2019-10-15.pdf,287gWSO_HendryCoFl2019-10-15,e10efff0956fe79c20e2969001a183ae6a49b93b35af02a7213895ce39e63e5b,,,,
merge_ready/agreements/287gWSO_HighlandsCoFl2019_10_15_20210116_0dbac41b158a.pdf,pdfs/287gWSO_HighlandsCoFl2019_10_15_20210116_0dbac41b158a.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_HighlandsCoFl2019-10-15.pdf,287gWSO_HighlandsCoFl2019-10-15,0dbac41b158a4208dac8d209a14ae9c26625344d3ad693eb2b7709793222209d,,,,
merge_ready/agreements/287gWSO_HolmesCoFl2019_10_15_20200327_524081a7483f.pdf,pdfs/287gWSO_HolmesCoFl2019_10_15_20200327_524081a7483f.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_HolmesCoFl2019-10-15.pdf,287gWSO_HolmesCoFl2019-10-15,524081a7483fc11348ae9c4b0d957dd87a42aee30d8d26bc42074ddfd9b03cdd,,,,
merge_ready/agreements/287gWSO_IndianRiverCoFL2019_10_15_20210116_b430ab0e59f1.pdf,pdfs/287gWSO_IndianRiverCoFL2019_10_15_20210116_b430ab0e59f1.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_IndianRiverCoFL2019-10-15.pdf,287gWSO_IndianRiverCoFL2019-10-15,b430ab0e59f1ab741fcc92875902809fca4715b5a6d20dfa548418e74b88ea5a,,,,
merge_ready/agreements/287gJEM_ClayCoFl2020_03_11_20200327_402b3bb5403b.pdf,pdfs/287gJEM_ClayCoFl2020_03_11_20200327_402b3bb5403b.pdf,https://www.ice.gov/doclib/287gMOA/287gJEM_ClayCoFl2020-03-11.pdf,287gJEM_ClayCoFl2020-03-11,402b3bb5403bdfa9ce789699575a32cd45d1a346c59db7e55b922849b026e699,,,,
merge_ready/agreements/287gJEM_ClayCoFl2020_03_11_20200804_9b413374d184.pdf,pdfs/287gJEM_ClayCoFl2020_03_11_20200804_9b413374d184.pdf,https://www.ice.gov/doclib/287gMOA/287gJEM_ClayCoFl2020-03-11.pdf,287gJEM_ClayCoFl2020-03-11,9b413374d18494f9bff21d5a0ea4aba16102013fadfb8c04113ad3c5434776d6,,,,
merge_ready/agreements/287gJEM_CollierCoFL2020_06_09_20210116_62701991a4ce.pdf,pdfs/287gJEM_CollierCoFL2020_06_09_20210116_62701991a4ce.pdf,https://www.ice.gov/doclib/287gMOA/287gJEM_CollierCoFL2020-06-09.pdf,287gJEM_CollierCoFL2020-06-09,62701991a4cea90c31e6e490b46d0c7bb5bcd4e77498b2780b58fc52bf54564c,,,,
merge_ready/agreements/287gJEM_HernandoCoFl2020_06_09_20210116_dbe831cdecf1.pdf,pdfs/287gJEM_HernandoCoFl2020_06_09_20210116_dbe831cdecf1.pdf,https://www.ice.gov/doclib/287gMOA/287gJEM_HernandoCoFl2020-06-09.pdf,287gJEM_HernandoCoFl2020-06-09,dbe831cdecf1b5053318953b0f5b234c2e5b7daab75a24136104a819feb91c7b,,,,
merge_ready/agreements/287gJEM_JacksonvilleCoFl2020_06_09_20200921_41daeee50ca1.pdf,pdfs/287gJEM_JacksonvilleCoFl2020_06_09_20200921_41daeee50ca1.pdf,https://www.ice.gov/doclib/287gMOA/287gJEM_JacksonvilleCoFl2020-06-09.pdf,287gJEM_JacksonvilleCoFl2020-06-09,41daeee50ca1a518c2970d3d88fe1eff67589c53f88608771437c4c623a15770,,,,
merge_ready/agreements/287gJEM_JacksonvilleCoFl2020_06_09_20210116_4c52bfffcf86.pdf,pdfs/287gJEM_JacksonvilleCoFl2020_06_09_20210116_4c52bfffcf86.pdf,https://www.ice.gov/doclib/287gMOA/287gJEM_JacksonvilleCoFl2020-06-09.pdf,287gJEM_JacksonvilleCoFl2020-06-09,4c52bfffcf8685b3746875bcdd7ea8694741a4a167fa3de02481fb909228e88c,,,,
