match_layer,state,county,agency,geom_class,needs_review,state_match,county_match,city_guess,src,manual_reason,manual_note,university_name,university_guess,university_guess_final
municipal,Texas,Guadalupe County,Guadalupe County Constable Precinct 1,municipal_polygon,TRUE,NA,NA,Guadalupe County Constable Precinct 1,NA,NA,NA,NA,NA,NA
municipal,Texas,Guadalupe County,Guadalupe County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Guadalupe County Constable Precinct 4,NA,NA,NA,NA,NA,NA
municipal,Texas,Lavaca County,Lavaca County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Lavaca County Constable Precinct 2,NA,NA,NA,NA,NA,NA
municipal,Texas,Liberty County,Liberty County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Liberty County Constable Precinct 2,NA,NA,NA,NA,NA,NA
municipal,Texas,Liberty County,Liberty County Constable Precinct 6,municipal_polygon,TRUE,NA,NA,Liberty County Constable Precinct 6,NA,NA,NA,NA,NA,NA
municipal,Texas,Guadalupe Conty,New Berlin Marshal's Office,municipal_polygon,TRUE,NA,NA,New Berlin Marshal's,NA,NA,NA,NA,NA,NA
municipal,Texas,Bexar County,Saint Hedwig Marshal's Office,municipal_polygon,TRUE,NA,NA,Saint Hedwig Marshal's,NA,NA,NA,NA,NA,NA
municipal,Texas,Gonzales County,Smiley City Marshal's Office,municipal_polygon,TRUE,NA,NA,Smiley City Marshal's,NA,NA,NA,NA,NA,NA
municipal,Texas,Wilson County,Stockdale Marshal's Office,municipal_polygon,TRUE,NA,NA,Stockdale Marshal's,NA,NA,NA,NA,NA,NA
municipal,Texas,Walker County,Walker County Constable Pct 3,municipal_polygon,TRUE,NA,NA,Walker County Constable Pct 3,NA,NA,NA,NA,NA,NA
municipal,West Virginia,Ohio County,Village of Clearview Police Department,municipal_polygon,TRUE,NA,NA,Village Of Clearview,NA,NA,NA,NA,NA,NA
