Texas	Walker County Sheriff's Office	2017-07-20	287gJEM_WalkerCoTx2017-07-20.pdf
Texas	Waller County Sheriff's Office	2017-05-22	287gWallerTx2017-05-22.pdf
Texas	Wharton County Sheriff's Office	2017-07-17	287gJEM_WhartonCoTx2017-07-17.pdf
Texas	Whitfield County Sheriff's Office		whitfieldcountysheriffsoffice.pdf
Texas	Williamson County Sheriff's Office	2018-02-08	287gJEM_WilliamsonCoTx2018-02-08.pdf
Texas	Williamson County Sheriff's Office	2020-05-04	287gJEM_WilliamsonCoTX_05-04-2020.pdf
Virginia	Culpeper County Sheriff's Office	2018-04-24	287g_CulpeperCounty_2018-04-24.pdf
Virginia	Culpeper County Sheriff's Office	2020-06-08	287gJEM_CulpeperCoVA_06-08-2020.pdf
Virginia	Herndon Police Department		herndonpolicedepartment.pdf
Virginia	Manassas Park, City of		cityofmanassaspark.pdf
Virginia	Manassas, City of		cityofmanassas.pdf
Virginia	Prince William County Police Department		boardofcountysupervisorsofprincewilliamcountypolicedepartment.pdf
Virginia	Prince William County Sheriff's Office		boardofcountysupervisorsofprincewilliamcountysheriffsoffice.pdf
Virginia	Prince William-Manassas Regional ADC	2009-10-15	jailboardofprincewilliam-manassasregionaladultdetentioncenter.pdf
Virginia	Prince William-Manassas Regional ADC	2016-06-23	287gJEM_PrinceWilliam-ManassasRegionalAdultDetentionCenterVa2016-06-23.pdf
Virginia	Rockingham County Sheriff's Office		rockinghamcountyvirginiasheriffsoffice.pdf
Virginia	Shenandoah County Sheriff's Office		shenandoahcountysheriffsoffice.pdf
Wisconsin	Lafayette County Sheriff's Office	2020-08-21	287gWSO_LafayetteCoWI_8-21-2020.pdf
Wisconsin	Waukesha County Sheriff's Office	2018-02-22	287gJEM_WaukeshaCoWi2018-02-22.pdf
