source,state,agency,date_signed,moa_file
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),New Jersey,Monmouth County Sheriff's Office (Addendum),2019-03-08,287gJEM_MonmouthCoNj2016-06-08.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),New Jersey,"Morristown, NJ",,287gmorristownnj.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),New Mexico,New Mexico Corrections Department,,stateofnewmexicocorrectionsdepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),New York,Rensselaer County Sheriff's Office,2018-02-09,287gJEM_RensselaerCoNy2018-02-09.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Alamance County Sheriff's Office,,sheriffsofficeofalamancecounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Brunswick County Sheriff's Office,2020-06-08,287gJEM_BrunswickCoNC_06-08-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Cabbarus County Sheriff's Office,2007-07-10,cabbaruscountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Cabarrus County Sheriff's Office,2016-06-28,r_287gcabarrus.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Durham Police Department,,durhampolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Gaston County Sheriff's Office,,gastoncountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Mecklenburg County Sheriff's Office,,mecklenburgcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),North Carolina,Nash County Sheriff's Office,2018-02-02,287gJEM_NashCoNc2018-02-02.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Ohio,Butler County Sheriff's Office,2008-02-05,butlercountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Ohio,Butler County Sheriff's Office,2016-09-30,r_287gbutlercounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Ohio,Butler County Sheriff's Office,2020-06-09,287gJEM_ButlerCoOH_06-09-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Oklahoma,Canadian County Sheriff's Office,2018-01-25,287g-CanadianCounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Oklahoma,Okmulgee County Criminal Justice Authority,2018-01-25,287gJEM_OkmulgeeCoCrimJusOk2018-01-25.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Oklahoma,Tulsa County Sheriff's Office,2009-10-05,tulsacountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Oklahoma,Tulsa County Sheriff's Office,2016-06-23,287gJEM_TulsaCoOk2016-06-23.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),South Carolina,Charleston County Sheriff's Office,2016-06-23,r_287gcharlestoncounty.pdf
