"state","agency_name","hyperlink","document_type","original_state_folder","sanitized_state_folder","original_agency_folder","sanitized_agency_folder","original_filename","sanitized_filename","saved_path","file_hash"
"FLORIDA","Key West Police Department","https://www.ice.gov/doclib/287gMOA/KeyWestPDFL_TFM_MOA_030425.pdf","MOA","FLORIDA","FLORIDA","Key West Police Department","Key_West_Police_Department","KeyWestPDFL_TFM_MOA_030425.pdf","MOA_KeyWestPDFL_TFM_MOA_030425.pdf","agreements/agreements_20260902_013717/FLORIDA/Key_West_Police_Department/MOA_KeyWestPDFL_TFM_MOA_030425.pdf","03661acccaeec5f62ad788bd8dc1d6330d6cdbbcc0b95267908cc131ae19391a"
"FLORIDA","Kissimmee Police Department","https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.ice.gov%2Fdoclib%2F287gMOA%2FKissimmeePoliceDeptFL_TFM_MOA_04242025.pdf&amp;data=05%7C02%7CERO287g%40ice.dhs.gov%7C93d0fa2290064f43a08108ddb3e744c8%7C1b87612a306c49d681e697c6e1a9197f%7C0%7C0%7C638864528045524148%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&amp;sdata=uoyiG3dRXYlgXKH7m4twAPz3h2HlMVhWe4hDcz9TQqQ%3D&amp;reserved=0","MOA","FLORIDA","FLORIDA","Kissimmee Police Department","Kissimmee_Police_Department","gcc02.safelinks.protection.outlook.com","MOA_gcc02.safelinks.protection.outlook.com","agreements/agreements_20260902_013717/FLORIDA/Kissimmee_Police_Department/MOA_gcc02.safelinks.protection.outlook.com","5584f0d3d59c082db1b38e9c6e8e797ab59b8cffbfa9842eb24ff87e3bdf9b23"
"FLORIDA","Lady Lake Police Department","https://www.ice.gov/doclib/287gMOA/LadyLakePoliceDeptFL_TFM_MOA_04.10.2025.pdf","MOA","FLORIDA","FLORIDA","Lady Lake Police Department","Lady_Lake_Police_Department","LadyLakePoliceDeptFL_TFM_MOA_04.10.2025.pdf","MOA_LadyLakePoliceDeptFL_TFM_MOA_04.10.2025.pdf","agreements/agreements_20260902_013717/FLORIDA/Lady_Lake_Police_Department/MOA_LadyLakePoliceDeptFL_TFM_MOA_04.10.2025.pdf","85de388e6c558cfe9dd1d5280673daf7349da93f09c075e3ccc2766a1f37247f"
"FLORIDA","Lafayette County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/lafayetteCountySherrifsOffice_TF_MOA_03122025.pdf","MOA","FLORIDA","FLORIDA","Lafayette County Sheriff's Office","Lafayette_County_Sheriff's_Office","lafayetteCountySherrifsOffice_TF_MOA_03122025.pdf","MOA_lafayetteCountySherrifsOffice_TF_MOA_03122025.pdf","agreements/agreements_20260902_013717/FLORIDA/Lafayette_County_Sheriff's_Office/MOA_lafayetteCountySherrifsOffice_TF_MOA_03122025.pdf","48c8037bd13ad09850fce6c43060c180ddf8ebc857a36f5f36f17c02e8535416"
"FLORIDA","Lafayette County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/287gWSO_LafayetteCoFl2019-10-15.pdf","MOA","FLORIDA","FLORIDA","Lafayette County Sheriff's Office","Lafayette_County_Sheriff's_Office","287gWSO_LafayetteCoFl2019-10-15.pdf","MOA_287gWSO_LafayetteCoFl2019-10-15.pdf","agreements/agreements_20260902_013717/FLORIDA/Lafayette_County_Sheriff's_Office/MOA_287gWSO_LafayetteCoFl2019-10-15.pdf","7818a1fc80c1b07662ed74f5491475339825eb799dc4ed6c637d5319a45de493"
"FLORIDA","Lafayette County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/LafayetteCoSheriffsOfficeFL_WSO_MOA_06252025.pdf","addendum","FLORIDA","FLORIDA","Lafayette County Sheriff's Office","Lafayette_County_Sheriff's_Office","LafayetteCoSheriffsOfficeFL_WSO_MOA_06252025.pdf","addendum_LafayetteCoSheriffsOfficeFL_WSO_MOA_06252025.pdf","agreements/agreements_20260902_013717/FLORIDA/Lafayette_County_Sheriff's_Office/addendum_LafayetteCoSheriffsOfficeFL_WSO_MOA_06252025.pdf","5c4a35a6178a70b69e28edabd8a4c65fc7fe94e5ff481fb276b224c4eeffe5a6"
"FLORIDA","Lake Alfred Police Department","https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.ice.gov%2Fdoclib%2F287gMOA%2FLakeAlfredPoliceDeptFL_TFM_MOA_06242025.pdf&amp;data=05%7C02%7CWebmaster.ICE%40ice.dhs.gov%7C3d443d4e005e41ec4e7c08ddbd5cc583%7C1b87612a306c49d681e697c6e1a9197f%7C0%7C0%7C638874928328660107%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&amp;sdata=FoUgccwTlaHFpWDFmigQT0n686HZ6mn4Qjl9gqOJpcc%3D&amp;reserved=0","MOA","FLORIDA","FLORIDA","Lake Alfred Police Department","Lake_Alfred_Police_Department","gcc02.safelinks.protection.outlook.com","MOA_gcc02.safelinks.protection.outlook.com","agreements/agreements_20260902_013717/FLORIDA/Lake_Alfred_Police_Department/MOA_gcc02.safelinks.protection.outlook.com","28e9ce1aa6357e346dacc2ceaee189f5e2d1e65d527fa3cee8f6b333b26f58ad"
"FLORIDA","Lake City Police Department","https://www.ice.gov/doclib/287gMOA/Lake_City_PD_FL_TFM_MOA_04.29.25.pdf","MOA","FLORIDA","FLORIDA","Lake City Police Department","Lake_City_Police_Department","Lake_City_PD_FL_TFM_MOA_04.29.25.pdf","MOA_Lake_City_PD_FL_TFM_MOA_04.29.25.pdf","agreements/agreements_20260902_013717/FLORIDA/Lake_City_Police_Department/MOA_Lake_City_PD_FL_TFM_MOA_04.29.25.pdf","56f59c8464e741cb897a3bc2ab72cf528fedd1ad087fcb043257534844c0414f"
"FLORIDA","Lake Clarke Shores Police Department","https://www.ice.gov/doclib/287gMOA/LakeClarkShoresPDFL_TFM_MOA_042925.pdf","MOA","FLORIDA","FLORIDA","Lake Clarke Shores Police Department","Lake_Clarke_Shores_Police_Department","LakeClarkShoresPDFL_TFM_MOA_042925.pdf","MOA_LakeClarkShoresPDFL_TFM_MOA_042925.pdf","agreements/agreements_20260902_013717/FLORIDA/Lake_Clarke_Shores_Police_Department/MOA_LakeClarkShoresPDFL_TFM_MOA_042925.pdf","776010a56dfd7db5da244febca952699af2657d633e0313bdcbf4cec41519fec"
"FLORIDA","Lake County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/lakeCountySherrifsOffice_TF_MOA_03122025.pdf","MOA","FLORIDA","FLORIDA","Lake County Sheriff's Office","Lake_County_Sheriff's_Office","lakeCountySherrifsOffice_TF_MOA_03122025.pdf","MOA_lakeCountySherrifsOffice_TF_MOA_03122025.pdf","agreements/agreements_20260902_013717/FLORIDA/Lake_County_Sheriff's_Office/MOA_lakeCountySherrifsOffice_TF_MOA_03122025.pdf","8b89745dbf007ed40fdf34f0285d1ea5fe56e5d12a9b8a208cb30caaaad0c697"
