"source","as_of","state","agency","model","date_signed","needs_review"
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Arizona Department of Public Safety",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Barnstable County Sheriff's Office (Massachusetts)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Cabarrus County Sheriff's Office (North Carolina)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Cobb County Sheriff's Office (Georgia)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Collier County Sheriff's Office (Florida)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Colorado Department of Public Safety/State Patrol",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Davidson County Sheriff's Office (Tennessee)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"El Paso County Sheriff's Office (Colorado)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Florida Department of Law Enforcement",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Framingham Police Department (Massachusetts)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Gaston County Sheriff's Office (North Carolina)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Georgia Department of Public Safety",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Herndon Police Department (Virginia)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Hudson Police Department (New Hampshire)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Los Angeles County Sheriff's Office (California)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Maricopa County Sheriff's Office (Arizona)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Massachusetts Department of Corrections",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Mecklenburg County Sheriff's Office (North Carolina)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"New Mexico Department of Corrections",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Orange County Sheriff's Office (California)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Prince William-Manassas Adult Detention Center (Virginia)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Riverside County Sheriff's Office (California)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Rockingham County Sheriff's Office (Virginia)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"San Bernardino County Sheriff's Office (California)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Shenandoah County Sheriff's Office (Virginia)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Tulsa County Sheriff's Office (Oklahoma)",,,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Alabama","Department of Public Safety","Task Force",2003-09-10,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Alabama","Etowah County Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Benton County Sheriff's Office","Hybrid",2007-09-26,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","City of Mesa Police Department","Task Force",2009-11-19,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","City of Phoenix Police Department","Task Force",2008-03-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Department of Corrections","Jail Enforcement",2005-09-16,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Department of Public Safety","Task Force",2007-04-15,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Florence Police Department","Task Force",2009-10-21,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Maricopa County Sheriff's Office","Jail Enforcement",2007-02-07,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Pima County Sheriff's Office","Hybrid",2008-03-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Pinal County Sheriff's Office","Hybrid",2008-03-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arizona","Yavapai County Sheriff's Office","Hybrid",2008-03-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arkansas","City of Springdale Police Department","Task Force",2007-09-26,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Arkansas","Rogers Police Department","Task Force",2007-09-25,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"California","Corrections","Jail Enforcement",2007-03-26,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"California","Corrections","Jail Enforcement",2007-09-17,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"California","Orange County Sheriff's Office","Jail Enforcement",2006-11-02,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"California","Riverside County Sheriff's Office","Jail Enforcement",2006-04-28,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"California","San Bernardino County Sheriff's Office","Jail Enforcement",2005-11-19,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Colorado","Department of Public Safety","Task Force",2007-03-29,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Colorado","El Paso County Sheriff's Office","Jail Enforcement",2007-05-17,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Connecticut","City of Danbury Police Department**","Task Force",2009-10-15,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Delaware","Bay County Sheriff's Office","Task Force",2008-06-15,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Delaware","Department of Corrections**","Jail Enforcement",2009-10-15,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Florida","Cobb County Sheriff's Office","Jail Enforcement",2007-02-13,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Florida","Collier County Sheriff's Office","Hybrid",2007-08-06,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Florida","Enforcement","Task Force",2002-07-02,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Florida","Jacksonville Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Georgia","Department of Public Safety","Task Force",2007-07-27,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Georgia","Gwinnett County Sheriff's Office","Jail Enforcement",2009-10-15,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Georgia","Hall County Sheriff's Office","Hybrid",2008-02-29,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Georgia","Whitfield County Sheriff's Office","Jail Enforcement",2008-02-04,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Maryland","Frederick County Sheriff's Office","Hybrid",2008-02-06,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Minnesota","Department of Public Safety","Task Force",2008-09-22,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Alamance County Sheriff's Office","Jail Enforcement",2007-01-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Butler County Sheriff's Office","Hybrid",2008-02-05,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","CAROLINA Gaston County Sheriff's Office","Jail Enforcement",2007-02-22,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Cabarrus County Sheriff's Office","Jail Enforcement",2007-08-02,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Department","Jail Enforcement",2008-09-08,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Durham Police Department","Task Force",2008-02-01,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Guilford County Sheriff's Office***","Task Force",2009-10-15,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Henderson County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Hudson City Police Department","Task Force",2007-05-05,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Mecklenburg County Sheriff's Office","Jail Enforcement",2006-02-27,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Monmouth County Sheriff's Office **","Jail Enforcement",2009-10-15,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","State Highway Patrol","Task Force",2008-06-25,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Tulsa County Sheriff's Office","Hybrid",2007-08-06,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Missouri","Wake County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","CAROLINA Charleston County Sheriff's Office**","Jail Enforcement",2009-11-09,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","Carrollton Police Department","Jail Enforcement",2008-08-12,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","Davidson County Sheriff's Office","Jail Enforcement",2007-02-21,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","Department of Safety","Task Force",2008-06-25,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","SOUTH Beaufort County Sheriff's Office","Task Force",2008-06-25,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","State Police**","Task Force",2009-10-15,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Rhode Island","York County Sheriff's Office","Jail Enforcement",2007-10-16,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Texas","Farmers Branch Police Department","Task Force",2008-07-08,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Texas","Harris County Sheriff's Office","Jail Enforcement",2008-07-20,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Department",,2008-02-26,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Herndon Police Department",,2007-03-21,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Los Angeles County Sheriff's Office","Jail Enforcement",2005-02-01,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Loudoun County Sheriff's Office","Task Force",2008-06-25,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Manassas Park Police Department","Task Force",2008-03-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Manassas Police Department","Task Force",2008-03-05,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Prince William County Sheriff's Office","Task Force",2008-02-26,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Prince William-Manassas Regional Jail","Jail Enforcement",2007-07-09,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Rockingham County Sheriff's Office","Hybrid",2007-04-25,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Shenandoah County Sheriff's Office","Hybrid",2007-05-10,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Utah","Weber County Sheriff's Office","Jail Enforcement",2008-09-22,FALSE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Washington","County Sheriff Office","Jail Enforcement",2008-09-22,TRUE
"MPI A Program in Flux App. 1 (Jan 2010)",2010-01-01,"Washington","County Sheriff's Office","Hybrid",2007-09-26,TRUE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Arizona Department of Corrections","Jail Enforcement",2005-09-16,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Arizona Department of Public Safety","Hybrid",2007-04-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","City of Mesa Police Department","Hybrid",2009-11-19,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","City of Phoenix Police Department","Hybrid",2008-03-10,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Florence Police Department","Task Force",2009-10-21,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Maricopa County Sheriff's Office","Jail Enforcement",2007-02-07,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Pima County Sheriff's Office","Hybrid",2008-03-10,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Pinal County Sheriff's Office","Hybrid",2008-03-10,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arizona","Yavapai County Sheriff's Office","Hybrid",2008-03-10,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arkansas","Benton County Sheriff's Office","Hybrid",2007-09-26,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arkansas","City of Springdale Police Department","Task Force",2007-09-26,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arkansas","Rogers Police Department","Task Force",2007-09-25,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Arkansas","Washington County Sheriff's Office","Hybrid",2007-09-26,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"California","Los Angeles County Sheriff's Office","Jail Enforcement",2005-02-01,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"California","Orange County Sheriff's Office","Jail Enforcement",2006-11-02,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"California","Riverside County Sheriff's Office","Jail Enforcement",2006-04-28,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"California","San Bernardino County Sheriff's Office","Jail Enforcement",2005-11-19,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Colorado","Colorado Department of Public Safety","Task Force",2007-03-29,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Colorado","El Paso County Sheriff's Office","Jail Enforcement",2007-05-17,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Connecticut","City of Danbury Police Department","Task Force",2009-10-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Delaware","Delaware Department of Corrections","Jail Enforcement",2009-10-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Florida","Bay County Sheriff's Office","Task Force",2008-06-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Florida","Collier County Sheriff's Office","Hybrid",2007-08-06,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Florida","Florida Department of Law Enforcement","Task Force",2002-07-02,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Florida","Jacksonville Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Georgia","Cobb County Sheriff's Office","Jail Enforcement",2007-02-13,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Georgia","Georgia Department of Public Safety","Task Force",2007-07-27,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Georgia","Gwinnett County Sheriff's Office","Jail Enforcement",2009-10-15,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Georgia","Hall County Sheriff's Office","Hybrid",2008-02-29,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Georgia","Whitfield County Sheriff's Office","Jail Enforcement",2008-02-04,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Maryland","Frederick County Sheriff's Office","Hybrid",2008-02-06,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Minnesota","Minnesota Department of Public Safety","Task Force",2008-09-22,FALSE
"MPI Delegation and Divergence App. 2 (Aug 2010)",2010-08-01,"Missouri","Missouri State Highway Patrol","Task Force",2008-06-25,FALSE
