"state","agency","jurisdiction_level","county_fips","county_name","first_signed_best","first_signed_source","latest_signed","signing_dates","models","active_from","active_to","terminated","n_rosters","in_ice_roster","in_kostandini","in_yale_2008","n_sources","confidence","moa_files","moa_pdf_present","moa_archived_url"
"MARYLAND","Harford County Sheriff's Office","local","24025","Harford County, MD",2016-10-26,"ICE roster (earliest observed)",2016-10-26,"2016-10-26","Jail Enforcement",2017-03-05,2017-08-01,FALSE,5,TRUE,FALSE,FALSE,1,"medium","HarfordCountyMoa10-26-2016.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/HarfordCountyMoa10-26-2016.pdf"
"MARYLAND","Hartford County Sheriff's Office","local","24025","Harford County, MD",2016-10-26,"ICE roster (earliest observed)",2016-10-26,"2016-10-26","Jail Enforcement",2016-12-11,2017-01-29,TRUE,2,TRUE,FALSE,FALSE,1,"medium","HarfordCountyMoa10-26-2016.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/HarfordCountyMoa10-26-2016.pdf"
"MASSACHUSETTS","Bristol County Sheriff's Office","local","25005","Bristol County, MA",2017-01-18,"ICE roster (earliest observed)",2017-01-18,"2017-01-18","Jail Enforcement",2017-01-29,2017-08-01,FALSE,6,TRUE,FALSE,FALSE,1,"medium","Bristol_MOA_01182017.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/Bristol_MOA_01182017.pdf"
"MASSACHUSETTS","Massachusetts Department of Corrections","statewide",,,2007-03-26,"ICE roster (earliest observed)",2016-06-23,"2007-03-26; 2014-04-22; 2014-05-21; 2016-06-23","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,FALSE,TRUE,2,"high","; massachusettsdepartmentofcorrections.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/massachusettsdepartmentofcorrections.pdf"
"MASSACHUSETTS","Plymouth County Sheriff's Department","local","25023","Plymouth County, MA",2017-01-18,"ICE roster (earliest observed)",2017-01-18,"2017-01-18","Jail Enforcement",2017-01-29,2017-08-01,FALSE,6,TRUE,FALSE,FALSE,1,"medium","Plymouth_MOA_01182017.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/Plymouth_MOA_01182017.pdf"
"MINNESOTA","Minnesota Department of Public Safety","statewide",,,2008-09-22,"Kostandini Table A1",2008-09-22,"2008-09-22","Task Force",2010-10-29,2012-10-02,TRUE,8,TRUE,TRUE,FALSE,2,"high","r_287gminnesotadps101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gminnesotadps101509.pdf"
"MISSOURI","Missouri State Highway Patrol","statewide",,,2008-06-25,"Kostandini Table A1",2008-06-25,"2008-06-25","Task Force",2010-10-29,2012-10-02,TRUE,8,TRUE,TRUE,FALSE,2,"high","r_287gmissouristatehighwaypatrol101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmissouristatehighwaypatrol101509.pdf"
"NEVADA","Las Vegas Metropolitan Police Department","local","32003","Clark County, NV",2008-09-08,"Kostandini Table A1",2016-06-28,"2008-09-08; 2013-06-28; 2016-06-28","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287glasvegaspd.pdf; r_287glasvegaspd101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287glasvegaspd.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287glasvegaspd101509.pdf"
"NEVADA","Nye County Sheriff<U+2019>s Office",,,,2017-04-20,"ICE roster (earliest observed)",2017-04-20,"2017-04-20","Jail Enforcement",2017-06-04,2017-08-01,FALSE,3,TRUE,FALSE,FALSE,1,"medium","287gNyeCounty2017.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/287gNyeCounty2017.pdf"
"NEW JERSEY","Cape May County Sheriffs Office","local","34009","Cape May County, NJ",2017-04-10,"ICE roster (earliest observed)",2017-04-10,"2017-04-10","Jail Enforcement",2017-05-02,2017-08-01,FALSE,4,TRUE,FALSE,FALSE,1,"medium","287gCapeMayNj2017-04-10.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/287gCapeMayNj2017-04-10.pdf"
"NEW JERSEY","Hudson County Department of Corrections","local","34017","Hudson County, NJ",2008-08-11,"Kostandini Table A1",2016-07-22,"2008-08-11; 2013-06-28; 2016-07-22","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287ghudsoncountynj.pdf; r_hudsoncountynj.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287ghudsoncountynj.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_hudsoncountynj.pdf"
